city,state,population
Berkeley,California,118585
Ann Arbor,Michigan,118087
Beaumont,Texas,117729
Independence,Missouri,117217
Columbia,Missouri,117165
Springfield,Illinois,116745
Peoria,Illinois,115990
Fargo,North Dakota,115950
Provo,Utah,115718
El Monte,California,115665
Lansing,Michigan,114773
Odessa,Texas,114258
Wilmington,North Carolina,113724
Arvada,Colorado,113532
Downey,California,113223
Round Rock,Texas,112767
Miami Gardens,Florida,112514
Costa Mesa,California,112439
Lehigh Acres,Florida,112279
Carlsbad,California,112008
Elgin,Illinois,111919
Westminster,Colorado,111770
Clearwater,Florida,111747
Rochester,Minnesota,111396
Inglewood,California,111012
Fairfield,California,110953
West Jordan,Utah,110928
Manchester,New Hampshire,110231
Gresham,Oregon,110042
Lowell,Massachusetts,109871
Brandon,Florida,109784
Waterbury,Connecticut,109211
Billings,Montana,109089
San Buenaventura (Ventura),California,109067
High Point,North Carolina,108982
Temecula,California,108965
Cambridge,Massachusetts,108757
Antioch,California,108675
Murrieta,California,108583
Pueblo,Colorado,108385
The Woodlands,Texas,108373
Richardson,Texas,108350
Richmond,California,108303
Centennial,Colorado,107862
West Covina,California,107634
Highlands Ranch,Colorado,106596
Everett,Washington,106580
Palm Bay,Florida,106573
Norwalk,California,106360
Pearland,Texas,106238
North Charleston,South Carolina,106113
Pompano Beach,Florida,106004
Daly City,California,105543
Boulder,Colorado,105420
Wichita Falls,Texas,105013
West Palm Beach,Florida,104978
Green Bay,Wisconsin,104951
Broken Arrow,Oklahoma,104869
College Station,Texas,104684
Burbank,California,104583
Santa Maria,California,103642
Columbia,Maryland,103439
Spring Hill,Florida,102929
El Cajon,California,102894
Lakeland,Florida,102714
Rialto,California,102418
Lewisville,Texas,102327
Davenport,Iowa,102305
San Mateo,California,102224
Sandy Springs,Georgia,102212
Clovis,California,102148
Tyler,Texas,101946
Las Cruces,New Mexico,101459
South Bend,Indiana,101037
Jurupa Valley,California,100737
Hillsboro,Oregon,100462
Erie,Pennsylvania,100157
Kenosha,Wisconsin,99865
Roanoke,Virginia,99329
Greeley,Colorado,98975
Flint,Michigan,98918
Davie,Florida,98717
San Angelo,Texas,98694
Vista,California,98560
Renton,Washington,98499
Albany,New York,98425
Compton,California,97740
Arden-Arcade,California,96898
Lawton,Oklahoma,96728
Tuscaloosa,Alabama,96352
Mission Viejo,California,96178
Portsmouth,Virginia,96071
Vacaville,California,95607
Dearborn,Michigan,95520
South Gate,California,95219
New Bedford,Massachusetts,94988
League City,Texas,94976
Beaverton,Oregon,94865
