iter	Passed	Remaining
404	8410	12356
405	8428	12331
406	8447	12307
407	8464	12281
408	8480	12254
409	8495	12225
410	8512	12198
411	8528	12172
412	8545	12145
413	8563	12121
414	8582	12098
415	8599	12072
416	8616	12045
417	8631	12018
418	8649	11993
419	8666	11968
420	8685	11945
421	8701	11917
422	8718	11892
423	8735	11866
424	8759	11851
425	8781	11831
426	8797	11806
427	8814	11780
428	8831	11754
429	8849	11730
430	9046	11943
431	9130	12004
432	9154	11987
433	9177	11969
434	9207	11959
435	9226	11934
436	9251	11918
437	9272	11898
438	9295	11878
439	9311	11851
440	9326	11822
441	9342	11794
442	9357	11765
443	9373	11737
444	9389	11710
445	9404	11681
446	9419	11653
447	9434	11624
448	9449	11596
449	9464	11567
450	9478	11537
451	9493	11509
452	9509	11482
453	9531	11463
454	9551	11441
455	9572	11419
456	9593	11399
457	9614	11378
458	9637	11359
459	9660	11340
460	9689	11328
461	9712	11309
462	9732	11287
463	9748	11261
464	9766	11237
465	9783	11211
466	9801	11186
467	9817	11159
468	9834	11134
469	9873	11134
470	9886	11104
471	9901	11076
472	9916	11048
473	9933	11023
474	10014	11069
475	10064	11079
476	10095	11068
477	10117	11049
478	10144	11033
479	10162	11008
480	10179	10984
481	10198	10960
482	10215	10934
483	10232	10909
484	10249	10883
485	10263	10854
486	10280	10829
487	10299	10805
488	10320	10785
489	10339	10761
490	10356	10736
491	10375	10712
492	10393	10688
493	10409	10662
494	10428	10638
495	10447	10616
496	10468	10595
497	10486	10571
498	10503	10545
499	10521	10521
500	10538	10496
501	10555	10471
502	10571	10445
503	10587	10419
504	10602	10392
505	10617	10365
506	10633	10339
507	10649	10313
508	10665	10288
509	10687	10268
510	10705	10244
511	10725	10222
512	10745	10201
513	10763	10177
514	10782	10154
515	10798	10129
516	10816	10104
517	10835	10082
518	10853	10058
519	10873	10037
520	10891	10013
521	10909	9990
522	10931	9970
523	10951	9948
524	10975	9930
525	10994	9908
526	11014	9886
527	11034	9864
528	11054	9842
529	11075	9821
530	11096	9800
531	11113	9776
532	11131	9753
533	11149	9729
534	11166	9705
535	11186	9683
536	11201	9657
537	11219	9634
538	11238	9612
539	11257	9589
540	11278	9568
541	11295	9545
542	11313	9521
543	11330	9497
544	11347	9473
545	11364	9449
546	11382	9426
547	11399	9402
548	11417	9379
549	11436	9357
550	11454	9334
551	11470	9309
552	11488	9285
553	11508	9264
554	11525	9240
555	11542	9217
556	11561	9195
557	11586	9178
558	11607	9157
559	11625	9134
560	11646	9113
561	11669	9094
562	11690	9074
563	11710	9053
564	11728	9030
565	11746	9006
566	11763	8983
567	11782	8961
568	11801	8938
569	11817	8914
570	11832	8889
571	11848	8865
572	11864	8841
573	11881	8818
574	11899	8795
575	11917	8772
576	11936	8750
577	11953	8727
578	11971	8704
579	11986	8679
580	12002	8656
581	12020	8633
582	12037	8610
583	12055	8587
584	12072	8564
585	12090	8541
586	12106	8517
587	12123	8494
588	12139	8470
589	12155	8446
590	12171	8423
591	12188	8400
592	12206	8377
593	12223	8355
594	12242	8332
595	12261	8311
596	12280	8289
597	12299	8268
598	12327	8252
599	12360	8240
600	12377	8217
601	12394	8194
602	12410	8170
603	12428	8148
604	12445	8125
605	12460	8101
606	12476	8077
607	12492	8054
608	12508	8031
609	12526	8008
610	12544	7986
611	12561	7963
612	12586	7946
613	12606	7925
614	12624	7903
615	12642	7881
616	12673	7867
617	12717	7860
618	12779	7865
619	12848	7874
620	12896	7870
621	12930	7858
622	12961	7843
623	12982	7822
624	13008	7805
625	13027	7783
626	13044	7760
627	13063	7738
628	13080	7715
629	13097	7692
630	13111	7667
631	13129	7644
632	13145	7621
633	13162	7598
634	13177	7574
635	13193	7551
