iter	RMSE
467	258.3677189
468	258.3190846
469	258.2420119
470	258.1791518
471	258.1317325
472	258.0923154
473	258.0391542
474	257.9930229
475	257.9259087
476	257.8399023
477	257.7976048
478	257.7424747
479	257.7122566
480	257.5902326
481	257.5350655
482	257.4312883
483	257.3872807
484	257.3508049
485	257.3137479
486	257.2370371
487	257.2027787
488	257.160963
489	257.1163695
490	257.0618813
491	256.9431782
492	256.8595002
493	256.8141712
494	256.693336
495	256.6438963
496	256.5884868
497	256.5371146
498	256.4896241
499	256.416556
500	256.3671963
501	256.3008701
502	256.2601631
503	256.1715089
504	256.1288757
505	256.0894313
506	256.0488661
507	255.9969223
508	255.9614708
509	255.8965494
510	255.8327235
511	255.7599338
512	255.7239204
513	255.6543125
514	255.5913381
515	255.5524388
516	255.4879716
517	255.4257458
518	255.3757351
519	255.3026507
520	255.2006977
521	255.1410537
522	255.0712564
523	255.0412314
524	255.0052123
525	254.910437
526	254.8279445
527	254.7661425
528	254.6954834
529	254.6495946
530	254.5986462
531	254.547288
532	254.4993046
533	254.4462709
534	254.4054151
535	254.3211135
536	254.2759546
537	254.1597795
538	254.0979007
539	254.0541079
540	254.0035731
541	253.9722675
542	253.9259009
543	253.8769457
544	253.8075818
545	253.7502658
546	253.6829212
547	253.6353455
548	253.5981457
549	253.5533029
550	253.4681232
551	253.4006378
552	253.3667878
553	253.3179894
554	253.272436
555	253.2437004
556	253.1914531
557	253.1462059
558	253.0981757
559	253.06828
560	252.9945269
561	252.9317086
562	252.8130658
563	252.7758364
564	252.7339269
565	252.6880947
566	252.6529995
567	252.5827967
568	252.5088881
569	252.4585746
570	252.4076017
571	252.3096138
572	252.2712
573	252.2311595
574	252.2036179
575	252.1412448
576	252.0406417
577	252.0007885
578	251.9425198
579	251.8929365
580	251.8588138
581	251.7559592
582	251.7028448
583	251.649969
584	251.6089818
585	251.5813306
586	251.5243062
587	251.4543704
588	251.3312172
589	251.2822674
590	251.2226575
591	251.1535678
592	251.1267981
593	251.0736351
594	251.0328604
595	250.9826853
596	250.9482862
597	250.8453571
598	250.8058252
599	250.7366375
600	250.6959935
601	250.6327067
602	250.6021649
603	250.5390999
604	250.4607992
605	250.4203762
606	250.387157
607	250.3404994
608	250.2851916
609	250.2291076
610	250.1751481
611	250.1401943
612	250.0721148
613	250.0230596
614	249.9668212
615	249.935332
616	249.8949077
617	249.8348075
618	249.769692
619	249.6964934
620	249.6633887
621	249.6165557
622	249.5604013
623	249.4996194
624	249.4643828
625	249.4161222
626	249.3879211
627	249.3336088
628	249.3048034
629	249.2205096
630	249.1884335
631	249.1052528
632	249.0580927
633	248.9958021
634	248.9458879
635	248.9152988
636	248.8175751
637	248.7673843
638	248.7065245
639	248.6744535
640	248.6364347
641	248.559759
642	248.4994143
643	248.4683575
644	248.4441103
645	248.3944642
646	248.3544159
647	248.2994816
648	248.2583874
649	248.1768182
650	248.1445283
651	248.0928802
652	248.0396182
653	247.9596674
654	247.8912239
655	247.8292407
656	247.7971319
657	247.7490851
658	247.6939645
659	247.626041
660	247.5820894
661	247.535922
662	247.4952872
663	247.4660962
664	247.4303853
665	247.3932841
666	247.3468345
667	247.2874254
668	247.2600202
669	247.2234093
670	247.1737245
671	247.143809
672	247.1015512
673	247.0201477
674	246.9902929
675	246.9487121
676	246.8996528
677	246.8435289
678	246.7998709
679	246.7620755
680	246.704319
681	246.6421482
682	246.5641192
683	246.5122829
684	246.4860331
685	246.4473416
686	246.41313
687	246.3594519
688	246.3102885
689	246.2285344
690	246.1814385
691	246.1589198
692	246.1201506
693	246.0568254
694	246.002454
695	245.9461384
696	245.9052807
697	245.8462809
698	245.8232714
699	245.742754
700	245.6708858
701	245.6290502
702	245.6025432
703	245.5187087
704	245.4706047
705	245.3896784
706	245.3443116
707	245.2971788
708	245.2433711
709	245.205709
710	245.1630624
711	245.1177061
712	245.0782069
713	245.0461488
714	244.9799538
715	244.9318333
716	244.8831679
717	244.8371764
718	244.8031858
719	244.7598626
720	244.720158
721	244.6702303
722	244.6304024
723	244.6059388
724	244.5594894
725	244.5318855
726	244.4514113
727	244.412044
728	244.3740324
729	244.3469423
730	244.2978388
731	244.2637579
732	244.2110054
733	244.1759709
734	244.1462248
735	244.0791103
736	244.0411152
737	244.0132838
738	243.9736264
739	243.9399557
740	243.8790987
741	243.8473393
742	243.7552899
743	243.7267018
744	243.7054803
745	243.6742116
746	243.6468474
747	243.5841617
748	243.5299204
749	243.4651166
750	243.4047417
751	243.3491093
752	243.3067717
753	243.2725283
754	243.2346417
755	243.2054029
756	243.1588404
757	243.1003681
758	243.065067
759	243.0285826
760	242.9666093
761	242.9272079
762	242.8910807
763	242.8267632
764	242.8119524
765	242.7800466
766	242.7326925
767	242.6943998
768	242.6469647
769	242.6066202
770	242.5569323
771	242.5131604
772	242.4734255
773	242.4057354
774	242.3759103
775	242.3052786
776	242.2705735
777	242.184662
778	242.1520966
779	242.1118418
780	242.0619681
781	242.0005933
782	241.9548046
783	241.9094438
784	241.8655167
785	241.8224405
786	241.7827507
787	241.7371357
788	241.7035178
789	241.6817944
790	241.6431421
791	241.5973955
792	241.565394
793	241.527802
794	241.5006422
795	241.4646541
796	241.4270761
797	241.3781713
798	241.3370788
799	241.269905
800	241.208395
801	241.1728118
802	241.1442818
803	241.0972569
804	241.0606742
805	241.0221632
806	240.9857072
807	240.9494286
808	240.9201603
809	240.8757752
810	240.8347865
811	240.8015693
812	240.7637691
813	240.740765
814	240.6981479
815	240.6658965
816	240.6360884
817	240.6016209
818	240.5714112
819	240.544381
820	240.5213238
821	240.4700079
822	240.4481048
823	240.4096796
824	240.3653537
825	240.3326895
826	240.2325079
827	240.2078697
828	240.1832804
829	240.1641807
830	240.1310421
831	240.1126371
832	240.074739
833	240.0522929
834	240.0222081
835	239.9514418
836	239.9225729
837	239.8920289
838	239.8616366
839	239.8142141
840	239.7804791
841	239.7290883
842	239.6899528
843	239.6448873
844	239.6134582
845	239.5688157
846	239.5293606
847	239.4680256
848	239.4384254
849	239.4078323
850	239.3700224
851	239.3391082
852	239.2837069
853	239.2483521
854	239.2311243
855	239.1961662
856	239.1460591
857	239.0966126
858	239.0562333
859	239.0021131
860	238.9633301
861	238.936884
862	238.9090984
863	238.8732379
864	238.8521739
865	238.8063402
866	238.759876
867	238.7189103
868	238.6854307
869	238.6423881
870	238.6229789
871	238.5814571
872	238.5339573
873	238.4926462
874	238.4574397
875	238.4207098
876	238.364353
877	238.3296526
878	238.2939479
879	238.2194872
880	238.1753149
881	238.1541603
882	238.1157948
883	238.0752782
884	238.0471742
885	238.0157888
886	237.9785017
887	237.942473
888	237.9035358
889	237.8757741
890	237.8453112
891	237.8145843
892	237.7756167
893	237.7391552
894	237.707958
895	237.6705895
896	237.6377605
897	237.6147236
898	237.5879747
899	237.558753
900	237.5059019
901	237.4872387
902	237.4353227
903	237.3907797
904	237.3547893
905	237.3135995
906	237.2721167
907	237.2376549
908	237.1890234
909	237.1660752
910	237.1142168
911	237.0966016
912	237.062165
913	237.0355396
914	237.0054799
915	236.9790721
916	236.9423055
917	236.9143018
918	236.8672976
919	236.8102577
920	236.7747899
921	236.7445741
922	236.7029954
923	236.6772734
924	236.6512115
925	236.6097091
926	236.5872262
927	236.5159544
928	236.4886131
929	236.4588628
930	236.4253089
931	236.4042936
932	236.3821331
933	236.3490386
934	236.3265409
935	236.288598
936	236.2127742
937	236.1874386
938	236.1651055
939	236.0963
940	236.0570335
941	236.0110053
942	235.9644936
943	235.9142905
944	235.8906089
945	235.8385643
946	235.8078379
947	235.7738282
948	235.7498587
949	235.7095113
950	235.6758086
951	235.6135245
952	235.5927925
953	235.567074
954	235.5257734
955	235.482307
956	235.4197395
957	235.400731
958	235.3708504
959	235.3423086
960	235.3148753
961	235.2983295
962	235.2781125
963	235.2570628
964	235.2268391
965	235.1817806
966	235.1325576
967	235.1103946
968	235.07944
969	235.0521668
970	235.0219516
971	234.9996305
972	234.9764162
973	234.9490416
974	234.9282869
975	234.8989086
976	234.8465289
977	234.8193148
978	234.795058
979	234.7542019
980	234.7103691
981	234.6899487
982	234.6591899
983	234.6372003
984	234.5936654
985	234.547579
986	234.5342847
987	234.470128
988	234.4349849
989	234.4025767
990	234.3752247
991	234.3342806
992	234.3212956
993	234.2956193
994	234.2690243
995	234.2291209
996	234.2046029
997	234.1982336
998	234.1541992
999	234.1209186
